Universitas,Prodi,Rank
universitas jabal ghafur,pendidikan bahasa inggris,999.0
universitas islam negeri sunan gunung djati,pendidikan fisika,999.0
universitas islam negeri walisongo semarang,pendidikan guru madrasah ibtidaiyah,999.0
sekolah tinggi agama kristen bina muda wirawan wonogiri,pendidikan agama kristen,999.0
universitas alamien prenduan,pendidikan bahasa arab,999.0
institut agama islam tasikmalaya,bimbingan dan konseling pendidikan islam,999.0
sekolah tinggi katolik santo yakobus merauke,pendidikan guru sekolah dasar,999.0
sekolah tinggi agama kristen sabda holistik,pendidikan agama kristen,999.0
universitas nusa cendana,fisika,999.0
universitas nusa nipa,kewirausahaan,999.0
universitas satu,manajemen,999.0
universitas siliwangi,manajemen,999.0
universitas lampung,ekonomi pembangunan,999.0
universitas balikpapan,manajemen,999.0
universitas nias,manajemen,999.0
sekolah tinggi ilmu ekonomi lpi makassar,akuntansi,999.0
politeknik negeri tanah laut,akuntansi perpajakan,999.0
universitas jember,ekonomi syariah,999.0
universitas tridinanti,manajemen,999.0
universitas doktor husni ingratubun tual,akuntansi,999.0
sekolah tinggi ekonomi dan bisnis islam syaikhona kholil sidogiri pasuruan,ekonomi syariah,999.0
universitas riau,keperawatan,999.0
universitas muhammadiyah mataram,kebidanan,999.0
universitas airlangga,keperawatan,4.0
sekolah tinggi ilmu kesehatan tri mandiri sakti bengkulu,kebidanan,999.0
sekolah tinggi ilmu kesehatan siti khadijah,ilmu keperawatan,999.0
sekolah tinggi ilmu kesehatan pertamedika,teknik radiodiagnostik dan radioterapi,999.0
sekolah tinggi ilmu kesehatan nasional,farmasi,999.0
sekolah tinggi ilmu kesehatan mutiara mahakam samarinda,keselamatan dan kesehatan kerja,999.0
sekolah tinggi ilmu kesehatan bhakti mulia,keselamatan dan kesehatan kerja,999.0
sekolah tinggi ilmu farmasi yayasan pharmasi,farmasi,999.0
sekolah tinggi ilmu farmasi yayasan pharmasi,analis farmasi dan makanan,999.0
politeknik tiara bunda,keperawatan anestesiologi,999.0
politeknik kesehatan kementerian kesehatan palembang,keperawatan,999.0
politeknik kesehatan kementerian kesehatan manado,gizi,999.0
politeknik kesehatan kementerian kesehatan malang,keperawatan,999.0
sekolah tinggi ilmu kesehatan marendeng majene,kebidanan,999.0
sekolah tinggi ilmu kesehatan borneo cendekia medika,keperawatan,999.0
politeknik kesehatan kementerian kesehatan medan,sanitasi,999.0
institut kesehatan immanuel,ilmu keperawatan,999.0
universitas palangka raya,teknologi laboratorium medis,999.0
universitas mandala waluya,kesehatan masyarakat,999.0
universitas mahasaraswati denpasar,farmasi,999.0
universitas indonesia maju,farmasi,999.0
universitas alirsyad cilacap,farmasi,999.0
